Date,Temperature_Mean,Temperature_Max,Precipitation,Sunshine,Wind_Speed,Consumption,Demand,Month
01-01-2025,14400,2.7,0,25.3,28582.7,173243.94,162312,1
02-01-2025,14400,2.6,6.6,19,28654.95,183581.907,176485.33,1
03-01-2025,13603.61,0.3,1,22.3,28732.77,170318.78,168552,1
04-01-2025,0,-1.1,0.3,11.8,28816.05,173695.935,168552,1
05-01-2025,0,-0.1,16.5,12.4,28904.69,176726.706,177862,1
06-01-2025,10800,8.3,2.6,26,28998.57,185516.933,192072,1
07-01-2025,21834.63,3.3,1.5,21,29097.75,189474.964,192072,1
08-01-2025,19735.36,1.4,0.8,14.5,29203.3,187103.897,192072,1
09-01-2025,0,0.7,20.7,10.6,29315.28,186805.584,192072,1
10-01-2025,10800,-0.4,0.2,22,29433.37,187396.261,192072,1
11-01-2025,9348.57,-1.4,0,19.4,29557.3,185650.28,192072,1
12-01-2025,14104.29,-3.7,0,14.2,29686.81,185842.567,192072,1
13-01-2025,20557.95,-7.7,0,2.8,29821.6,191306.513,192072,1
14-01-2025,23719.62,-4,0.6,7,29961.41,190763.989,192072,1
15-01-2025,2088.12,1.1,1.1,11.4,30105.96,176611.753,188259.5,1
16-01-2025,1465.57,0,0,2.6,30254.99,157890.928,162072,1
17-01-2025,27570.76,-1.8,0,1.8,30408.23,170623.886,162072,1
18-01-2025,29659.85,-1.2,0,5.8,30565.43,185494.204,175509.5,1
19-01-2025,29979.46,0,0,6.8,30726.34,188153.638,192072,1
20-01-2025,30119.29,-1.2,0,5.5,30890.7,189912.315,192072,1
21-01-2025,30318.16,-1,0,3,31058.27,189812.286,192072,1
22-01-2025,24964.72,0.1,0.1,7.2,31228.81,188077.176,192072,1
23-01-2025,2051.36,2.3,8,16.4,31402.09,189212.388,192072,1
24-01-2025,0,4.4,2.2,20.1,31577.89,187342.733,192072,1
25-01-2025,8898.04,8.1,3.5,16.9,31755.97,183951.21,192072,1
26-01-2025,7604.06,4.8,15.7,13.9,31936.13,183955.067,192072,1
27-01-2025,5078.19,6.8,4.7,19.4,32118.39,186628.828,192072,1
28-01-2025,0,5.6,0.4,12.2,32304.62,175177.26,179610,1
29-01-2025,22009.07,5.4,2.1,18.9,32495.01,158671.684,162312,1
30-01-2025,4373.23,4.7,2.1,8.6,32689.24,172953.069,162312,1
31-01-2025,20089.23,1.5,1.7,12.4,32887.04,176072.123,174712,1
01-02-2025,32267.1,-0.8,0,2.9,33088.12,179181.236,192072,2
02-02-2025,32363.6,-2.1,0,6,33292.2,187411.472,192072,2
03-02-2025,32400,-2,0,3.5,33499,188372.982,192072,2
04-02-2025,32400,-1.9,0,4.8,33708.27,188423.627,192072,2
05-02-2025,3344.93,0,0,9.4,33919.75,188836.281,192072,2
06-02-2025,0,1.2,0,6.9,34133.19,167065.123,173363.67,2
07-02-2025,7934.95,1,0,23,34348.35,154270.643,162072,2
08-02-2025,32400,0.4,0,13.1,34564.99,165303.471,162072,2
09-02-2025,19397.17,-0.3,0,9.1,34782.89,185382.372,183322,2
10-02-2025,32400,-0.6,0,14.4,35001.81,189604.977,192072,2
11-02-2025,8195.93,0.1,2.5,16.9,35221.55,188500.83,192072,2
12-02-2025,8354.93,0.5,1.2,10.3,35441.88,189037.162,192072,2
13-02-2025,1898.16,-1.9,2.4,9.5,35662.61,189665.43,192072,2
14-02-2025,4786.27,-1,0.3,7.2,35883.53,175474.351,185685.67,2
15-02-2025,21329.65,-1.9,0,3.3,36104.44,169618.435,168552,2
16-02-2025,15633.04,-2.8,0,8.3,36325.4,179288.219,168552,2
17-02-2025,32790,-4.7,0,7.9,36548.36,190599.185,174922,2
18-02-2025,34873.52,-5.5,0,10.3,36773.59,191101.103,192072,2
19-02-2025,35959.15,-3.8,0,13.9,37000.87,192226.16,192072,2
20-02-2025,30964.14,-0.3,0,6.7,37229.99,189587.524,192072,2
21-02-2025,33449.57,5.5,0.7,5.1,37460.75,187469.825,192072,2
22-02-2025,25043.75,6.3,0.1,8.8,37692.93,185128.389,192072,2
23-02-2025,20554.6,7.2,0.1,11.1,37926.36,185496.171,192072,2
24-02-2025,12645.09,7.1,0,12.1,38160.83,187890.738,192072,2
25-02-2025,30214.82,7.5,3.2,7.6,38396.16,188676.884,192072,2
26-02-2025,4856.76,4.9,2,8.3,38632.17,187998.602,192072,2
